reporting_month,ingestion_date,product_group,footprint,customer_type,churn_value,reporting_kpi,forecast_date
2025-03-01,2025-03-31,Broadband,KD,Bad_Payer,11,ACTUAL,
2025-03-01,2025-03-31,Broadband,UM,Irregular,13,ACTUAL,
2025-03-01,2025-03-31,Broadband,UM,Regular,16,ACTUAL,
2025-03-01,2025-03-31,DSL,DSL,Bad_Payer,30,ACTUAL,
2025-03-01,2025-03-31,DSL,DSL,Irregular,13,ACTUAL,
2025-03-01,2025-03-31,DSL,DSL,Regular,38,ACTUAL,
2025-03-01,2025-03-31,Fiber,Fiber,Bad_Payer,12,ACTUAL,
2025-03-01,2025-03-31,Fiber,Fiber,Irregular,10,ACTUAL,
2025-03-01,2025-03-31,Fiber,Fiber,Regular,150,ACTUAL,
2025-04-01,2025-04-07,Broadband,KD,Move,4,ACTUAL,
2025-04-01,2025-04-07,Broadband,UM,Bad_Payer,12,ACTUAL,
2025-04-01,2025-04-07,Broadband,UM,Regular,21,ACTUAL,
2025-04-01,2025-04-07,DSL,DSL,Irregular,11,ACTUAL,
2025-04-01,2025-04-07,DSL,DSL,Regular,83,ACTUAL,
2025-04-01,2025-04-07,Fiber,Fiber,Bad_Payer,32,ACTUAL,
2025-04-01,2025-04-07,Fiber,Fiber,Irregular,10,ACTUAL,
2025-04-01,2025-04-07,Fiber,Fiber,Regular,60,ACTUAL,
2025-05-01,2025-04-07,Broadband,KD,Bad_Payer,0,FORECAST,2025-05-01
2025-05-01,2025-04-07,Broadband,KD,Irregular,19,FORECAST,2025-05-01
2025-05-01,2025-04-07,Broadband,KD,Regular,98,FORECAST,2025-05-01
2025-05-01,2025-04-07,Broadband,UM,Regular,31,FORECAST,2025-05-01
2025-05-01,2025-04-07,DSL,DSL,Bad_Payer,120,FORECAST,2025-05-01
2025-05-01,2025-04-07,DSL,DSL,Irregular,66,FORECAST,2025-05-01
2025-05-01,2025-04-07,DSL,DSL,Move,0,FORECAST,2025-05-01
2025-05-01,2025-04-07,DSL,DSL,Regular,334,FORECAST,2025-05-01
2025-05-01,2025-04-07,Fiber,Fiber,Bad_Payer,59,FORECAST,2025-05-01
2025-05-01,2025-04-07,Fiber,Fiber,Irregular,48,FORECAST,2025-05-01
2025-05-01,2025-04-07,Fiber,Fiber,Regular,383,FORECAST,2025-05-01
2025-06-01,2025-04-07,Broadband,KD,Bad_Payer,0,FORECAST,2025-06-01
2025-06-01,2025-04-07,Broadband,KD,Irregular,19,FORECAST,2025-06-01
2025-06-01,2025-04-07,Broadband,KD,Regular,75,FORECAST,2025-06-01
2025-06-01,2025-04-07,Broadband,UM,Regular,0,FORECAST,2025-06-01
2025-06-01,2025-04-07,DSL,DSL,Bad_Payer,141,FORECAST,2025-06-01
2025-06-01,2025-04-07,DSL,DSL,Irregular,71,FORECAST,2025-06-01
2025-06-01,2025-04-07,DSL,DSL,Move,0,FORECAST,2025-06-01
2025-06-01,2025-04-07,DSL,DSL,Regular,365,FORECAST,2025-06-01
2025-06-01,2025-04-07,Fiber,Fiber,Bad_Payer,54,FORECAST,2025-06-01
2025-06-01,2025-04-07,Fiber,Fiber,Irregular,41,FORECAST,2025-06-01
2025-06-01,2025-04-07,Fiber,Fiber,Regular,412,FORECAST,2025-06-01
2025-07-01,2025-04-07,Broadband,KD,Bad_Payer,0,FORECAST,2025-07-01
2025-07-01,2025-04-07,Broadband,KD,Irregular,18,FORECAST,2025-07-01
2025-07-01,2025-04-07,Broadband,KD,Regular,51,FORECAST,2025-07-01
2025-07-01,2025-04-07,Broadband,UM,Regular,0,FORECAST,2025-07-01
2025-07-01,2025-04-07,DSL,DSL,Bad_Payer,162,FORECAST,2025-07-01
2025-07-01,2025-04-07,DSL,DSL,Irregular,76,FORECAST,2025-07-01
2025-07-01,2025-04-07,DSL,DSL,Move,0,FORECAST,2025-07-01
2025-07-01,2025-04-07,DSL,DSL,Regular,396,FORECAST,2025-07-01
2025-07-01,2025-04-07,Fiber,Fiber,Bad_Payer,49,FORECAST,2025-07-01
2025-07-01,2025-04-07,Fiber,Fiber,Irregular,33,FORECAST,2025-07-01
2025-07-01,2025-04-07,Fiber,Fiber,Regular,441,FORECAST,2025-07-01
2025-04-01,2025-04-14,Broadband,KD,Regular,17,ACTUAL,
2025-04-01,2025-04-14,Broadband,UM,Bad_Payer,22,ACTUAL,
2025-04-01,2025-04-14,DSL,DSL,Bad_Payer,20,ACTUAL,
2025-04-01,2025-04-14,DSL,DSL,Regular,105,ACTUAL,
2025-04-01,2025-04-14,Fiber,Fiber,Bad_Payer,8,ACTUAL,
2025-04-01,2025-04-14,Fiber,Fiber,Regular,105,ACTUAL,
2025-05-01,2025-04-14,Broadband,KD,Bad_Payer,0,FORECAST,2025-05-01
2025-05-01,2025-04-14,Broadband,KD,Irregular,19,FORECAST,2025-05-01
2025-05-01,2025-04-14,Broadband,KD,Regular,98,FORECAST,2025-05-01
2025-05-01,2025-04-14,Broadband,UM,Regular,31,FORECAST,2025-05-01
2025-05-01,2025-04-14,DSL,DSL,Bad_Payer,120,FORECAST,2025-05-01
2025-05-01,2025-04-14,DSL,DSL,Irregular,66,FORECAST,2025-05-01
2025-05-01,2025-04-14,DSL,DSL,Move,0,FORECAST,2025-05-01
2025-05-01,2025-04-14,DSL,DSL,Regular,334,FORECAST,2025-05-01
2025-05-01,2025-04-14,Fiber,Fiber,Bad_Payer,59,FORECAST,2025-05-01
2025-05-01,2025-04-14,Fiber,Fiber,Irregular,48,FORECAST,2025-05-01
2025-05-01,2025-04-14,Fiber,Fiber,Regular,383,FORECAST,2025-05-01
2025-06-01,2025-04-14,Broadband,KD,Bad_Payer,0,FORECAST,2025-06-01
2025-06-01,2025-04-14,Broadband,KD,Irregular,19,FORECAST,2025-06-01
2025-06-01,2025-04-14,Broadband,KD,Regular,75,FORECAST,2025-06-01
2025-06-01,2025-04-14,Broadband,UM,Regular,0,FORECAST,2025-06-01
2025-06-01,2025-04-14,DSL,DSL,Bad_Payer,141,FORECAST,2025-06-01
2025-06-01,2025-04-14,DSL,DSL,Irregular,71,FORECAST,2025-06-01
2025-06-01,2025-04-14,DSL,DSL,Move,0,FORECAST,2025-06-01
2025-06-01,2025-04-14,DSL,DSL,Regular,365,FORECAST,2025-06-01
2025-06-01,2025-04-14,Fiber,Fiber,Bad_Payer,54,FORECAST,2025-06-01
2025-06-01,2025-04-14,Fiber,Fiber,Irregular,41,FORECAST,2025-06-01
2025-06-01,2025-04-14,Fiber,Fiber,Regular,412,FORECAST,2025-06-01
2025-07-01,2025-04-14,Broadband,KD,Bad_Payer,0,FORECAST,2025-07-01
2025-07-01,2025-04-14,Broadband,KD,Irregular,18,FORECAST,2025-07-01
2025-07-01,2025-04-14,Broadband,KD,Regular,51,FORECAST,2025-07-01
2025-07-01,2025-04-14,Broadband,UM,Regular,0,FORECAST,2025-07-01
2025-07-01,2025-04-14,DSL,DSL,Bad_Payer,162,FORECAST,2025-07-01
2025-07-01,2025-04-14,DSL,DSL,Irregular,76,FORECAST,2025-07-01
2025-07-01,2025-04-14,DSL,DSL,Move,0,FORECAST,2025-07-01
2025-07-01,2025-04-14,DSL,DSL,Regular,396,FORECAST,2025-07-01
2025-07-01,2025-04-14,Fiber,Fiber,Bad_Payer,49,FORECAST,2025-07-01
2025-07-01,2025-04-14,Fiber,Fiber,Irregular,33,FORECAST,2025-07-01
2025-07-01,2025-04-14,Fiber,Fiber,Regular,441,FORECAST,2025-07-01
2025-04-01,2025-04-21,Broadband,KD,Bad_Payer,6,ACTUAL,
2025-04-01,2025-04-21,Broadband,KD,Regular,78,ACTUAL,
2025-04-01,2025-04-21,Broadband,UM,Bad_Payer,10,ACTUAL,
2025-04-01,2025-04-21,Broadband,UM,Regular,21,ACTUAL,
2025-04-01,2025-04-21,DSL,DSL,Bad_Payer,47,ACTUAL,
2025-04-01,2025-04-21,DSL,DSL,Irregular,6,ACTUAL,
2025-04-01,2025-04-21,DSL,DSL,Move,6,ACTUAL,
2025-04-01,2025-04-21,DSL,DSL,Regular,39,ACTUAL,
2025-04-01,2025-04-21,Fiber,Fiber,Bad_Payer,31,ACTUAL,
2025-04-01,2025-04-21,Fiber,Fiber,Irregular,18,ACTUAL,
2025-04-01,2025-04-21,Fiber,Fiber,Move,9,ACTUAL,
2025-04-01,2025-04-21,Fiber,Fiber,Regular,17,ACTUAL,
2025-05-01,2025-04-21,Broadband,KD,Bad_Payer,0,FORECAST,2025-05-01
2025-05-01,2025-04-21,Broadband,KD,Irregular,19,FORECAST,2025-05-01
2025-05-01,2025-04-21,Broadband,KD,Regular,98,FORECAST,2025-05-01
2025-05-01,2025-04-21,Broadband,UM,Regular,31,FORECAST,2025-05-01
2025-05-01,2025-04-21,DSL,DSL,Bad_Payer,120,FORECAST,2025-05-01
2025-05-01,2025-04-21,DSL,DSL,Irregular,66,FORECAST,2025-05-01
2025-05-01,2025-04-21,DSL,DSL,Move,0,FORECAST,2025-05-01
2025-05-01,2025-04-21,DSL,DSL,Regular,334,FORECAST,2025-05-01
2025-05-01,2025-04-21,Fiber,Fiber,Bad_Payer,59,FORECAST,2025-05-01
2025-05-01,2025-04-21,Fiber,Fiber,Irregular,48,FORECAST,2025-05-01
2025-05-01,2025-04-21,Fiber,Fiber,Regular,383,FORECAST,2025-05-01
2025-06-01,2025-04-21,Broadband,KD,Bad_Payer,0,FORECAST,2025-06-01
2025-06-01,2025-04-21,Broadband,KD,Irregular,19,FORECAST,2025-06-01
2025-06-01,2025-04-21,Broadband,KD,Regular,75,FORECAST,2025-06-01
2025-06-01,2025-04-21,Broadband,UM,Regular,0,FORECAST,2025-06-01
2025-06-01,2025-04-21,DSL,DSL,Bad_Payer,141,FORECAST,2025-06-01
2025-06-01,2025-04-21,DSL,DSL,Irregular,71,FORECAST,2025-06-01
2025-06-01,2025-04-21,DSL,DSL,Move,0,FORECAST,2025-06-01
2025-06-01,2025-04-21,DSL,DSL,Regular,365,FORECAST,2025-06-01
2025-06-01,2025-04-21,Fiber,Fiber,Bad_Payer,54,FORECAST,2025-06-01
2025-06-01,2025-04-21,Fiber,Fiber,Irregular,41,FORECAST,2025-06-01
2025-06-01,2025-04-21,Fiber,Fiber,Regular,412,FORECAST,2025-06-01
2025-07-01,2025-04-21,Broadband,KD,Bad_Payer,0,FORECAST,2025-07-01
2025-07-01,2025-04-21,Broadband,KD,Irregular,18,FORECAST,2025-07-01
2025-07-01,2025-04-21,Broadband,KD,Regular,51,FORECAST,2025-07-01
2025-07-01,2025-04-21,Broadband,UM,Regular,0,FORECAST,2025-07-01
2025-07-01,2025-04-21,DSL,DSL,Bad_Payer,162,FORECAST,2025-07-01
2025-07-01,2025-04-21,DSL,DSL,Irregular,76,FORECAST,2025-07-01
2025-07-01,2025-04-21,DSL,DSL,Move,0,FORECAST,2025-07-01
2025-07-01,2025-04-21,DSL,DSL,Regular,396,FORECAST,2025-07-01
2025-07-01,2025-04-21,Fiber,Fiber,Bad_Payer,49,FORECAST,2025-07-01
2025-07-01,2025-04-21,Fiber,Fiber,Irregular,33,FORECAST,2025-07-01
2025-07-01,2025-04-21,Fiber,Fiber,Regular,441,FORECAST,2025-07-01
2025-04-01,2025-04-28,Broadband,KD,Bad_Payer,15,ACTUAL,
2025-04-01,2025-04-28,Broadband,KD,Irregular,12,ACTUAL,
2025-04-01,2025-04-28,Broadband,UM,Move,6,ACTUAL,
2025-04-01,2025-04-28,Broadband,UM,Regular,18,ACTUAL,
2025-04-01,2025-04-28,DSL,DSL,Bad_Payer,36,ACTUAL,
2025-04-01,2025-04-28,DSL,DSL,Irregular,12,ACTUAL,
2025-04-01,2025-04-28,DSL,DSL,Regular,21,ACTUAL,
2025-04-01,2025-04-28,Fiber,Fiber,Bad_Payer,9,ACTUAL,
2025-04-01,2025-04-28,Fiber,Fiber,Irregular,15,ACTUAL,
2025-04-01,2025-04-28,Fiber,Fiber,Move,5,ACTUAL,
2025-04-01,2025-04-28,Fiber,Fiber,Regular,61,ACTUAL,
2025-05-01,2025-04-28,Broadband,KD,Bad_Payer,0,FORECAST,2025-05-01
2025-05-01,2025-04-28,Broadband,KD,Irregular,19,FORECAST,2025-05-01
2025-05-01,2025-04-28,Broadband,KD,Regular,98,FORECAST,2025-05-01
2025-05-01,2025-04-28,Broadband,UM,Regular,31,FORECAST,2025-05-01
2025-05-01,2025-04-28,DSL,DSL,Bad_Payer,120,FORECAST,2025-05-01
2025-05-01,2025-04-28,DSL,DSL,Irregular,66,FORECAST,2025-05-01
2025-05-01,2025-04-28,DSL,DSL,Move,0,FORECAST,2025-05-01
2025-05-01,2025-04-28,DSL,DSL,Regular,334,FORECAST,2025-05-01
2025-05-01,2025-04-28,Fiber,Fiber,Bad_Payer,59,FORECAST,2025-05-01
2025-05-01,2025-04-28,Fiber,Fiber,Irregular,48,FORECAST,2025-05-01
2025-05-01,2025-04-28,Fiber,Fiber,Regular,383,FORECAST,2025-05-01
2025-06-01,2025-04-28,Broadband,KD,Bad_Payer,0,FORECAST,2025-06-01
2025-06-01,2025-04-28,Broadband,KD,Irregular,19,FORECAST,2025-06-01
2025-06-01,2025-04-28,Broadband,KD,Regular,75,FORECAST,2025-06-01
2025-06-01,2025-04-28,Broadband,UM,Regular,0,FORECAST,2025-06-01
2025-06-01,2025-04-28,DSL,DSL,Bad_Payer,141,FORECAST,2025-06-01
2025-06-01,2025-04-28,DSL,DSL,Irregular,71,FORECAST,2025-06-01
2025-06-01,2025-04-28,DSL,DSL,Move,0,FORECAST,2025-06-01
2025-06-01,2025-04-28,DSL,DSL,Regular,365,FORECAST,2025-06-01
2025-06-01,2025-04-28,Fiber,Fiber,Bad_Payer,54,FORECAST,2025-06-01
2025-06-01,2025-04-28,Fiber,Fiber,Irregular,41,FORECAST,2025-06-01
2025-06-01,2025-04-28,Fiber,Fiber,Regular,412,FORECAST,2025-06-01
2025-07-01,2025-04-28,Broadband,KD,Bad_Payer,0,FORECAST,2025-07-01
2025-07-01,2025-04-28,Broadband,KD,Irregular,18,FORECAST,2025-07-01
2025-07-01,2025-04-28,Broadband,KD,Regular,51,FORECAST,2025-07-01
2025-07-01,2025-04-28,Broadband,UM,Regular,0,FORECAST,2025-07-01
2025-07-01,2025-04-28,DSL,DSL,Bad_Payer,162,FORECAST,2025-07-01
2025-07-01,2025-04-28,DSL,DSL,Irregular,76,FORECAST,2025-07-01
2025-07-01,2025-04-28,DSL,DSL,Move,0,FORECAST,2025-07-01
2025-07-01,2025-04-28,DSL,DSL,Regular,396,FORECAST,2025-07-01
2025-07-01,2025-04-28,Fiber,Fiber,Bad_Payer,49,FORECAST,2025-07-01
2025-07-01,2025-04-28,Fiber,Fiber,Irregular,33,FORECAST,2025-07-01
2025-07-01,2025-04-28,Fiber,Fiber,Regular,441,FORECAST,2025-07-01
2025-05-01,2025-05-05,Broadband,KD,Bad_Payer,10,ACTUAL,
2025-05-01,2025-05-05,Broadband,KD,Regular,53,ACTUAL,
2025-05-01,2025-05-05,Broadband,UM,Bad_Payer,8,ACTUAL,
2025-05-01,2025-05-05,Broadband,UM,Irregular,18,ACTUAL,
2025-05-01,2025-05-05,Broadband,UM,Regular,20,ACTUAL,
2025-05-01,2025-05-05,DSL,DSL,Bad_Payer,18,ACTUAL,
2025-05-01,2025-05-05,DSL,DSL,Regular,68,ACTUAL,
2025-05-01,2025-05-05,Fiber,Fiber,Bad_Payer,39,ACTUAL,
2025-05-01,2025-05-05,Fiber,Fiber,Irregular,9,ACTUAL,
2025-05-01,2025-05-05,Fiber,Fiber,Move,6,ACTUAL,
2025-06-01,2025-05-05,Broadband,KD,Bad_Payer,36,FORECAST,2025-06-01
2025-06-01,2025-05-05,Broadband,KD,Irregular,19,FORECAST,2025-06-01
2025-06-01,2025-05-05,Broadband,KD,Regular,143,FORECAST,2025-06-01
2025-06-01,2025-05-05,Broadband,UM,Bad_Payer,34,FORECAST,2025-06-01
2025-06-01,2025-05-05,Broadband,UM,Regular,81,FORECAST,2025-06-01
2025-06-01,2025-05-05,DSL,DSL,Bad_Payer,82,FORECAST,2025-06-01
2025-06-01,2025-05-05,DSL,DSL,Irregular,31,FORECAST,2025-06-01
2025-06-01,2025-05-05,DSL,DSL,Move,0,FORECAST,2025-06-01
2025-06-01,2025-05-05,DSL,DSL,Regular,269,FORECAST,2025-06-01
2025-06-01,2025-05-05,Fiber,Fiber,Bad_Payer,102,FORECAST,2025-06-01
2025-06-01,2025-05-05,Fiber,Fiber,Irregular,52,FORECAST,2025-06-01
2025-06-01,2025-05-05,Fiber,Fiber,Move,0,FORECAST,2025-06-01
2025-06-01,2025-05-05,Fiber,Fiber,Regular,173,FORECAST,2025-06-01
2025-07-01,2025-05-05,Broadband,KD,Bad_Payer,31,FORECAST,2025-07-01
2025-07-01,2025-05-05,Broadband,KD,Irregular,19,FORECAST,2025-07-01
2025-07-01,2025-05-05,Broadband,KD,Regular,136,FORECAST,2025-07-01
2025-07-01,2025-05-05,Broadband,UM,Bad_Payer,34,FORECAST,2025-07-01
2025-07-01,2025-05-05,Broadband,UM,Regular,68,FORECAST,2025-07-01
2025-07-01,2025-05-05,DSL,DSL,Bad_Payer,89,FORECAST,2025-07-01
2025-07-01,2025-05-05,DSL,DSL,Irregular,34,FORECAST,2025-07-01
2025-07-01,2025-05-05,DSL,DSL,Move,0,FORECAST,2025-07-01
2025-07-01,2025-05-05,DSL,DSL,Regular,290,FORECAST,2025-07-01
2025-07-01,2025-05-05,Fiber,Fiber,Bad_Payer,110,FORECAST,2025-07-01
2025-07-01,2025-05-05,Fiber,Fiber,Irregular,47,FORECAST,2025-07-01
2025-07-01,2025-05-05,Fiber,Fiber,Move,0,FORECAST,2025-07-01
2025-07-01,2025-05-05,Fiber,Fiber,Regular,143,FORECAST,2025-07-01
2025-08-01,2025-05-05,Broadband,KD,Bad_Payer,27,FORECAST,2025-08-01
2025-08-01,2025-05-05,Broadband,KD,Irregular,18,FORECAST,2025-08-01
2025-08-01,2025-05-05,Broadband,KD,Regular,130,FORECAST,2025-08-01
2025-08-01,2025-05-05,Broadband,UM,Bad_Payer,34,FORECAST,2025-08-01
2025-08-01,2025-05-05,Broadband,UM,Regular,55,FORECAST,2025-08-01
2025-08-01,2025-05-05,DSL,DSL,Bad_Payer,95,FORECAST,2025-08-01
2025-08-01,2025-05-05,DSL,DSL,Irregular,37,FORECAST,2025-08-01
2025-08-01,2025-05-05,DSL,DSL,Move,0,FORECAST,2025-08-01
2025-08-01,2025-05-05,DSL,DSL,Regular,312,FORECAST,2025-08-01
2025-08-01,2025-05-05,Fiber,Fiber,Bad_Payer,117,FORECAST,2025-08-01
2025-08-01,2025-05-05,Fiber,Fiber,Irregular,42,FORECAST,2025-08-01
2025-08-01,2025-05-05,Fiber,Fiber,Move,0,FORECAST,2025-08-01
2025-08-01,2025-05-05,Fiber,Fiber,Regular,112,FORECAST,2025-08-01
2025-05-01,2025-05-12,Broadband,KD,Bad_Payer,13,ACTUAL,
2025-05-01,2025-05-12,Broadband,KD,Regular,59,ACTUAL,
2025-05-01,2025-05-12,Broadband,UM,Bad_Payer,14,ACTUAL,
2025-05-01,2025-05-12,Broadband,UM,Regular,59,ACTUAL,
